Arista E_154: origen=V_84, pareja=E_155, cara=f62, siguiente=E_212, anterior=E_479
Arista E_155: origen=V_119, pareja=E_154, cara=f13, siguiente=E_408, anterior=E_337
Arista E_156: origen=V_120, pareja=E_157, cara=f63, siguiente=E_231, anterior=E_402
Arista E_157: origen=V_121, pareja=E_156, cara=f34, siguiente=E_403, anterior=E_459
Arista E_158: origen=V_1, pareja=E_159, cara=f0, siguiente=E_227, anterior=E_0
Arista E_159: origen=V_122, pareja=E_158, cara=f1, siguiente=E_1, anterior=E_226
Arista E_160: origen=V_123, pareja=E_161, cara=f53, siguiente=E_416, anterior=E_498
Arista E_161: origen=V_124, pareja=E_160, cara=f64, siguiente=E_186, anterior=E_417
Arista E_162: origen=V_125, pareja=E_163, cara=f53, siguiente=E_549, anterior=E_348
Arista E_163: origen=V_126, pareja=E_162, cara=f0, siguiente=E_349, anterior=E_548
Arista E_164: origen=V_127, pareja=E_165, cara=f53, siguiente=E_42, anterior=E_339
Arista E_165: origen=V_37, pareja=E_164, cara=f0, siguiente=E_338, anterior=E_43
Arista E_166: origen=V_71, pareja=E_167, cara=f13, siguiente=E_318, anterior=E_84
Arista E_167: origen=V_39, pareja=E_166, cara=f45, siguiente=E_85, anterior=E_518
Arista E_168: origen=V_55, pareja=E_169, cara=f38, siguiente=E_387, anterior=E_413
Arista E_169: origen=V_128, pareja=E_168, cara=f17, siguiente=E_65, anterior=E_251
Arista E_170: origen=V_129, pareja=E_171, cara=f53, siguiente=E_492, anterior=E_241
Arista E_171: origen=V_61, pareja=E_170, cara=f65, siguiente=E_240, anterior=E_378
Arista E_172: origen=V_25, pareja=E_173, cara=f20, siguiente=E_123, anterior=E_29
Arista E_173: origen=V_96, pareja=E_172, cara=f40, siguiente=E_69, anterior=E_122
Arista E_174: origen=V_13, pareja=E_175, cara=f16, siguiente=E_254, anterior=E_330
Arista E_175: origen=V_130, pareja=E_174, cara=f53, siguiente=E_73, anterior=E_543
Arista E_176: origen=V_24, pareja=E_177, cara=f17, siguiente=E_251, anterior=E_26
Arista E_177: origen=V_131, pareja=E_176, cara=f18, siguiente=E_27, anterior=E_250
Arista E_178: origen=V_48, pareja=E_179, cara=f5, siguiente=E_30, anterior=E_252
Arista E_179: origen=V_27, pareja=E_178, cara=f17, siguiente=E_54, anterior=E_31
Arista E_180: origen=V_132, pareja=E_181, cara=f53, siguiente=E_388, anterior=E_182
Arista E_181: origen=V_133, pareja=E_180, cara=f0, siguiente=E_183, anterior=E_389
Arista E_182: origen=V_38, pareja=E_183, cara=f53, siguiente=E_180, anterior=E_42
Arista E_183: origen=V_132, pareja=E_182, cara=f0, siguiente=E_43, anterior=E_181
Arista E_184: origen=V_134, pareja=E_185, cara=f53, siguiente=E_504, anterior=E_436
Arista E_185: origen=V_135, pareja=E_184, cara=f53, siguiente=E_437, anterior=E_505
Arista E_186: origen=V_123, pareja=E_187, cara=f64, siguiente=E_230, anterior=E_161
Arista E_187: origen=V_136, pareja=E_186, cara=f42, siguiente=E_247, anterior=E_282
Arista E_188: origen=V_137, pareja=E_189, cara=f50, siguiente=E_426, anterior=E_234
Arista E_189: origen=V_138, pareja=E_188, cara=f24, siguiente=E_235, anterior=E_427
Arista E_190: origen=V_113, pareja=E_191, cara=f0, siguiente=E_410, anterior=E_142
Arista E_191: origen=V_139, pareja=E_190, cara=f53, siguiente=E_143, anterior=E_411
Arista E_192: origen=V_40, pareja=E_193, cara=f12, siguiente=E_322, anterior=E_44
Arista E_193: origen=V_140, pareja=E_192, cara=f25, siguiente=E_45, anterior=E_323
Arista E_194: origen=V_53, pareja=E_195, cara=f18, siguiente=E_281, anterior=E_539
Arista E_195: origen=V_33, pareja=E_194, cara=f36, siguiente=E_59, anterior=E_466
Arista E_196: origen=V_141, pareja=E_197, cara=f53, siguiente=E_362, anterior=E_286
Arista E_197: origen=V_142, pareja=E_196, cara=f0, siguiente=E_287, anterior=E_363
Arista E_198: origen=V_45, pareja=E_199, cara=f6, siguiente=E_506, anterior=E_275
Arista E_199: origen=V_46, pareja=E_198, cara=f30, siguiente=E_51, anterior=E_80
Arista E_200: origen=V_61, pareja=E_201, cara=f40, siguiente=E_140, anterior=E_69
Arista E_201: origen=V_110, pareja=E_200, cara=f66, siguiente=E_379, anterior=E_468
Arista E_202: origen=V_143, pareja=E_203, cara=f59, siguiente=E_456, anterior=E_277
Arista E_203: origen=V_54, pareja=E_202, cara=f5, siguiente=E_347, anterior=E_61
Arista E_204: origen=V_144, pareja=E_205, cara=f0, siguiente=E_213, anterior=E_356
Arista E_205: origen=V_145, pareja=E_204, cara=f62, siguiente=E_479, anterior=E_212
Arista E_206: origen=V_36, pareja=E_207, cara=f0, siguiente=E_312, anterior=E_40
Arista E_207: origen=V_146, pareja=E_206, cara=f53, siguiente=E_41, anterior=E_313
Arista E_208: origen=V_60, pareja=E_209, cara=f20, siguiente=E_29, anterior=E_510
Arista E_209: origen=V_26, pareja=E_208, cara=f52, siguiente=E_106, anterior=E_361
Arista E_210: origen=V_29, pareja=E_211, cara=f22, siguiente=E_256, anterior=E_35
Arista E_211: origen=V_83, pareja=E_210, cara=f44, siguiente=E_471, anterior=E_105
Arista E_212: origen=V_119, pareja=E_213, cara=f62, siguiente=E_205, anterior=E_154
Arista E_213: origen=V_145, pareja=E_212, cara=f0, siguiente=E_336, anterior=E_204
Arista E_214: origen=V_147, pareja=E_215, cara=f53, siguiente=E_79, anterior=E_424
Arista E_215: origen=V_68, pareja=E_214, cara=f0, siguiente=E_425, anterior=E_78
Arista E_216: origen=V_28, pareja=E_217, cara=f5, siguiente=E_64, anterior=E_30
Arista E_217: origen=V_58, pareja=E_216, cara=f17, siguiente=E_31, anterior=E_65
Arista E_218: origen=V_148, pareja=E_219, cara=f44, siguiente=E_82, anterior=E_471
Arista E_219: origen=V_34, pareja=E_218, cara=f24, siguiente=E_237, anterior=E_38
Arista E_220: origen=V_149, pareja=E_221, cara=f29, siguiente=E_150, anterior=E_380
Arista E_221: origen=V_117, pareja=E_220, cara=f55, siguiente=E_381, anterior=E_151
Arista E_222: origen=V_150, pareja=E_223, cara=f39, siguiente=E_77, anterior=E_544
Arista E_223: origen=V_62, pareja=E_222, cara=f19, siguiente=E_545, anterior=E_263
Arista E_224: origen=V_87, pareja=E_225, cara=f28, siguiente=E_520, anterior=E_554
Arista E_225: origen=V_151, pareja=E_224, cara=f56, siguiente=E_508, anterior=E_521
Arista E_226: origen=V_152, pareja=E_227, cara=f1, siguiente=E_159, anterior=E_314
